model,framework,run_id,is_survival_best,first_order_date,sku_id,supplier_id,quantity,quality_rank,price_rank,candidate_count,quality_score,best_quality_supplier,best_quality_score,is_quality_best,is_price_best
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3700060571,supplier_4,24,1,1,5,5.0,supplier_4,5.0,True,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,8000000325,supplier_4,20,1,4,5,4.7763,supplier_4,4.7763,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3700063087,supplier_4,24,1,2,5,4.7019,supplier_4,4.7019,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,1690001601,supplier_4,30,1,4,5,4.6262,supplier_4,4.6262,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,5200003940,supplier_1,20,1,3,5,4.6919,supplier_1,4.6919,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,4400000057,supplier_1,20,1,2,5,4.7608,supplier_1,4.7608,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,2800001159,supplier_1,30,1,5,5,4.7767,supplier_1,4.7767,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,5100000011,supplier_5,20,1,2,5,4.8538,supplier_5,4.8538,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3500051300,supplier_5,20,1,5,5,4.7609,supplier_5,4.7609,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3010003319,supplier_2,20,1,3,5,4.7436,supplier_2,4.7436,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3500046100,supplier_2,24,1,4,5,4.9418,supplier_2,4.9418,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,3000001460,supplier_2,20,1,2,5,4.7429,supplier_2,4.7429,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-07,1254671165,supplier_3,30,1,4,5,5.0,supplier_3,5.0,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-08,1070013100,supplier_4,50,4,1,5,1.8422,supplier_2,4.6466,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-08,1254612128,supplier_4,50,2,1,5,4.6428,supplier_3,4.93,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-08,3828111129,supplier_4,30,3,1,5,2.3845,supplier_2,4.79,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-08,3700060511,supplier_4,30,5,1,5,1.8022,supplier_1,4.9017,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-08,4400000004,supplier_4,30,2,4,5,4.4502,supplier_1,4.646,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-14,2100061223,supplier_1,200,5,2,5,1.4245,supplier_2,4.6815,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-14,3828153081,supplier_1,150,5,1,5,1.813,supplier_3,5.0,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-14,5100001251,supplier_1,150,4,1,5,1.8078,supplier_4,4.6656,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-14,4200013000,supplier_4,150,5,1,5,1.8781,supplier_5,4.8292,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-20,3828111185,supplier_3,100,5,1,5,1.6458,supplier_2,4.6421,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-20,8000000245,supplier_1,90,4,2,5,1.9919,supplier_4,4.7698,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-20,3700000391,supplier_1,70,1,5,5,5.0,supplier_1,5.0,True,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-20,8660000033,supplier_5,60,5,1,5,1.8428,supplier_1,4.9676,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-20,3000001380,supplier_5,40,5,1,5,1.7959,supplier_2,5.0,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-25,2100000001,supplier_1,100,4,1,5,2.2668,supplier_2,5.0,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-25,3828112185,supplier_1,50,3,4,5,4.7526,supplier_4,4.9924,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-09-25,3828190009,supplier_1,50,2,5,5,4.7114,supplier_4,4.927,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-10-17,3828153085,supplier_4,150,5,1,5,1.6441,supplier_2,4.8421,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-10-18,8000000280,supplier_3,500,5,1,5,1.9954,supplier_4,4.9065,False,True
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-10-18,2400032320,supplier_3,500,4,4,5,2.4295,supplier_5,5.0,False,False
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,1991-10-18,1230000010,supplier_3,300,4,5,5,2.8081,supplier_4,4.8555,False,False
